species,in-frame_score
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.75286
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99692
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99946
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99051
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.86351
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99712
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99297
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99369
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.13397
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99951
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99319
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99720
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96483
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99503
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99722
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99997
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.93796
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99859
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96974
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.88582
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99416
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99260
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99376
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.95823
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99692
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96826
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99290
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.65941
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99913
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99718
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99892
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.92749
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99589
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.95593
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98735
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.94260
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99974
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99279
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99032
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.78136
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.78319
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.39323
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.85413
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.95515
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99393
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98963
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99308
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98979
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97688
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99688
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.86281
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99554
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99535
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99978
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99992
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97555
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.91758
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99528
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99973
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.62605
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99934
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99916
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.89165
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98602
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.58398
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.83199
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.79404
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99737
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99821
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.67377
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.92040
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99487
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.33813
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.90443
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.76189
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.85198
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98402
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99984
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99740
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97630
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.91017
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98650
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99310
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99539
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.89571
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98836
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98956
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99078
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96086
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99063
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99791
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99534
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99902
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.91355
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.91858
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.93675
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99922
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98892
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97319
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98196
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.68270
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96367
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99825
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96784
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99718
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99790
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99478
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99871
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98720
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98924
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99713
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99781
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99692
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96693
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99835
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99249
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99428
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99978
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97305
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.87545
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99904
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.74776
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99751
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99978
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96985
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99955
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98286
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99222
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99945
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97897
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.27197
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98478
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99702
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99046
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99377
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99928
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96837
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98260
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99981
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98858
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98348
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99999
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.16703
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98918
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.91674
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99879
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.95285
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99478
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.83245
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99998
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99961
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97579
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98816
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.89613
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99914
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98390
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99952
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.91709
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.88864
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99305
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99947
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99973
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.39772
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96328
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99632
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99261
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.81606
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97282
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99965
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99706
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99329
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99839
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.86428
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98990
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.92792
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99874
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.92645
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99420
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99825
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99842
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98462
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99963
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99956
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99946
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99992
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99998
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99803
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.94178
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.83833
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99760
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99518
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99871
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.11890
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99093
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.01335
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98126
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99816
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98979
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98820
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99819
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99782
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.61658
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97962
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.86031
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99533
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99929
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98925
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.90055
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98914
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99896
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99988
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99987
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98752
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99824
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.92557
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.95771
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98785
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99852
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99804
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98934
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.59984
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99926
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99775
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99705
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98725
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.93267
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96057
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99660
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.73127
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99628
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.95545
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99890
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99824
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99953
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99880
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99874
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99939
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99762
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97682
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98885
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99736
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96966
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99169
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.10997
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99993
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.91552
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99457
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99076
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99989
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99534
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99601
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99915
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99816
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99653
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.39629
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99891
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99947
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97529
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.94996
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99281
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99993
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.88516
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99904
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97631
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.81444
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98236
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99995
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99849
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99450
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.88416
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99151
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99989
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99990
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99884
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99951
